"Start,""Stop"",""Strand"""
"1249125,1249757,""-"""
"1249768,1250838,""-"""
"1251066,1252985,""+"""
"1253085,1255952,""-"""
"1256721,1257812,""-"""
"1257929,1258513,""-"""
"1258791,1259069,""+"""
"1259124,1260803,""-"""
"1260928,1261875,""-"""
"1262026,1262877,""-"""
"1262877,1263500,""-"""
"1263714,1264970,""+"""
"1265012,1266094,""+"""
"1266094,1266927,""+"""
"1266924,1267316,""+"""
"1267320,1268129,""+"""
"1268165,1269019,""+"""
"1269168,1269275,""-"""
"1269703,1269810,""-"""
"1270238,1270345,""-"""
"1270749,1271849,""-"""
"1272119,1272349,""+"""
"1272507,1273202,""+"""
"1273246,1273599,""-"""
"1273784,1275178,""+"""
"1275179,1275829,""-"""
"1275822,1277618,""-"""
"1277957,1279348,""+"""
"1279864,1283607,""+"""
"1283604,1285142,""+"""
"1285139,1285849,""+"""
"1285849,1286526,""+"""
"1287087,1287176,""-"""
"1287782,1288624,""-"""
"1288674,1289132,""-"""
"1289245,1290150,""+"""
"1290242,1291255,""+"""
"1291457,1292365,""+"""
"1292509,1292922,""-"""
"1293527,1294144,""+"""
"1295446,1298121,""-"""
"1298598,1299245,""+"""
"1301182,1302813,""+"""
"1302899,1303819,""+"""
"1303834,1304742,""+"""
"1304754,1305767,""+"""
"1305764,1306768,""+"""
"1306821,1307150,""-"""
"1307185,1308645,""-"""
"1308788,1308961,""+"""
"1309016,1310269,""-"""
"1310569,1310865,""-"""
"1311089,1311808,""+"""
"1311848,1312246,""-"""
"1312351,1312890,""-"""
"1312920,1313663,""-"""
"1314020,1314658,""+"""
"1314718,1315224,""-"""
"1315270,1315770,""-"""
"1315856,1316035,""-"""
"1316416,1317222,""-"""
"1317222,1318415,""-"""
"1318427,1319788,""-"""
"1319789,1321384,""-"""
"1321384,1322946,""-"""
"1323038,1323082,""-"""
"1323220,1324101,""+"""
"1324098,1324718,""+"""
"1324746,1326641,""+"""
"1326852,1327727,""+"""
"1327767,1328357,""-"""
"1328354,1329112,""-"""
"1329332,1330381,""+"""
"1330417,1330668,""-"""
"1331048,1333645,""+"""
"1333855,1334829,""+"""
"1335124,1335288,""+"""
"1335291,1335458,""+"""
"1335831,1338506,""+"""
"1338570,1339160,""-"""
"1339330,1340094,""+"""
"1340243,1340551,""+"""
"1340558,1341727,""+"""
"1341921,1342658,""+"""
"1342658,1342984,""+"""
"1343110,1343328,""-"""
"1343597,1344346,""-"""
"1344436,1344609,""-"""
"1344757,1346742,""-"""
"1346796,1346900,""+"""
"1346978,1348912,""-"""
"1348980,1350107,""-"""
"1350251,1351039,""-"""
"1351407,1351760,""-"""
"1351828,1352634,""-"""
"1352636,1353628,""-"""
"1353628,1354518,""-"""
"1354505,1355470,""-"""
"1355467,1357110,""-"""
"1357423,1357668,""-"""
"1357802,1359187,""-"""
"1359490,1360908,""-"""
"1361120,1361884,""+"""
"1361911,1362468,""+"""
"1362743,1364230,""+"""
"1364232,1365512,""+"""
"1365550,1366815,""+"""
"1366935,1367912,""-"""
"1368079,1368747,""+"""
"1368801,1369025,""+"""
"1369025,1369384,""+"""
"1369393,1369614,""+"""
"1369689,1370003,""+"""
"1370216,1371895,""+"""
"1371909,1373201,""+"""
"1373222,1374103,""+"""
"1374090,1374932,""+"""
"1374963,1376015,""+"""
"1376034,1376822,""+"""
"1376832,1377887,""+"""
"1377884,1380151,""+"""
"1380148,1380807,""+"""
"1381947,1382852,""+"""
"1382963,1383961,""-"""
"1384117,1385514,""+"""
"1385511,1386572,""+"""
"1386720,1388261,""+"""
"1388305,1388811,""-"""
"1388930,1389895,""+"""
"1389870,1390598,""-"""
"1390933,1391853,""-"""
"1391991,1392890,""+"""
"1393227,1394840,""+"""
"1394891,1395922,""-"""
"1396076,1397092,""+"""
"1397365,1397622,""+"""
"1397672,1398622,""-"""
"1398774,1399526,""-"""
"1399721,1400236,""-"""
"1400247,1401773,""-"""
"1401810,1403255,""-"""
"1403255,1404565,""-"""
"1404741,1405649,""+"""
"1405979,1406542,""+"""
"1406563,1407795,""-"""
"1408050,1409033,""+"""
"1409511,1410884,""+"""
"1411013,1411948,""-"""
"1412000,1413235,""-"""
"1413237,1413452,""-"""
"1413531,1413740,""-"""
"1413733,1413927,""-"""
"1413984,1414793,""-"""
"1414786,1417386,""-"""
"1417488,1417763,""-"""
"1417838,1418008,""-"""
"1418008,1418229,""-"""
"1418671,1419159,""+"""
"1419156,1419311,""-"""
"1419322,1419456,""-"""
"1419765,1420241,""-"""
"1420365,1420661,""+"""
"1420684,1421106,""+"""
"1421119,1421976,""+"""
"1421983,1422729,""+"""
"1423400,1423585,""+"""
"1423782,1425239,""+"""
"1425377,1425640,""+"""
"1427746,1428726,""-"""
"1429049,1432411,""+"""
"1432411,1432986,""+"""
"1433084,1433674,""-"""
"1433991,1434224,""-"""
"1435185,1435619,""-"""
"1435760,1436893,""-"""
"1437260,1440784,""-"""
"1441058,1441324,""+"""
"1441321,1441743,""-"""
"1441854,1442843,""-"""
"1443051,1445690,""+"""
"1445687,1445872,""+"""
"1445880,1446206,""+"""
"1446378,1447283,""-"""
"1447519,1449018,""+"""
"1449076,1451349,""-"""
"1451597,1453642,""-"""
"1453927,1454856,""+"""
"1454868,1455155,""+"""
"1455164,1455910,""+"""
"1455925,1456422,""+"""
"1456430,1457500,""+"""
"1457497,1458264,""+"""
"1458264,1459052,""+"""
"1459054,1460481,""+"""
"1460471,1460893,""+"""
"1460893,1462098,""+"""
"1462125,1463438,""+"""
"1463539,1464489,""+"""
"1464471,1465061,""+"""
"1465165,1465230,""-"""
"1467921,1468826,""-"""
"1468784,1469149,""-"""
"1469358,1470509,""+"""
"1474221,1475081,""+"""
"1475144,1477450,""+"""
"1477621,1478226,""+"""
"1478226,1479122,""+"""
"1479138,1480895,""+"""
"1480909,1482201,""+"""
"1482255,1482860,""-"""
"1483061,1486963,""+"""
"1487235,1488035,""+"""
"1488232,1489671,""+"""
"1490902,1491432,""+"""
"1491677,1491850,""+"""
"1491922,1492071,""-"""
"1491962,1492129,""-"""
"1492470,1494110,""+"""
"1494148,1495071,""-"""
"1495288,1496631,""+"""
"1496856,1498511,""+"""
"1498651,1498875,""+"""
"1498938,1499477,""+"""
"1499469,1500449,""-"""
"1500573,1501565,""+"""
"1501562,1502155,""+"""
"1502457,1503125,""+"""
"1503717,1504865,""+"""
"1504905,1506080,""-"""
"1506172,1506708,""+"""
"1506781,1508742,""+"""
"1508834,1509064,""-"""
"1509286,1509462,""+"""
"1509508,1509924,""+"""
"1510003,1511409,""+"""
"1511654,1512799,""+"""
"1512817,1513830,""+"""
"1513831,1514772,""+"""
"1514762,1515556,""+"""
"1515578,1517002,""+"""
"1517099,1517194,""-"""
"1517389,1517562,""+"""
"1517648,1517881,""+"""
"1517882,1518331,""-"""
"1518328,1518846,""-"""
"1519027,1520064,""+"""
"1520262,1520927,""+"""
"1520963,1523065,""-"""
"1523307,1524368,""+"""
"1524481,1525980,""-"""
"1526247,1526864,""+"""
"1526940,1527152,""+"""
"1529922,1530404,""+"""
"1531816,1532952,""+"""
"1533052,1533285,""+"""
"1533282,1533851,""-"""
"1534024,1534869,""+"""
"1534965,1535858,""-"""
"1535937,1536617,""-"""
"1536614,1537309,""-"""
"1537309,1538853,""-"""
"1538850,1542590,""-"""
"1542672,1544060,""-"""
"1546288,1547169,""-"""
"1547401,1550448,""+"""
"1550461,1551345,""+"""
"1551338,1551991,""+"""
"1552398,1552682,""-"""
"1552828,1553838,""-"""
"1553972,1555669,""-"""
"1555826,1555963,""-"""
"1556065,1556280,""-"""
"1556625,1557056,""+"""
"1557112,1558038,""-"""
"1558031,1559017,""-"""
"1559014,1559910,""-"""
"1559907,1560929,""-"""
"1560931,1562481,""-"""
"1562495,1563076,""-"""
"1563334,1565733,""-"""
"1565758,1567140,""-"""
"1567504,1568823,""-"""
"1568954,1570489,""-"""
"1570645,1572045,""-"""
"1572407,1575202,""-"""
"1575247,1577619,""-"""
"1577657,1579342,""-"""
"1579633,1580790,""-"""
"1580842,1582524,""-"""
"1582926,1583687,""-"""
"1583762,1583959,""-"""
"1584207,1586486,""-"""
"1586820,1587734,""-"""
"1587793,1588296,""-"""
"1588309,1588839,""-"""
"1590854,1592176,""-"""
"1592176,1592442,""-"""
"1598617,1600209,""-"""
"1600288,1601241,""-"""
"1601490,1603025,""+"""
"1603019,1604047,""+"""
"1604047,1605039,""+"""
"1605051,1606073,""+"""
"1606100,1606975,""+"""
"1606999,1607289,""+"""
"1607346,1608104,""+"""
"1608108,1609022,""-"""
"1609229,1610680,""-"""
"1610907,1611854,""-"""
"1611966,1612325,""-"""
"1612325,1613251,""-"""
"1613315,1614703,""-"""
"1614804,1615685,""+"""
"1615763,1616878,""+"""
"1617028,1618218,""+"""
"1618243,1618908,""-"""
"1619120,1619554,""+"""
"1619574,1619957,""+"""
"1619989,1620207,""+"""
"1620238,1621137,""-"""
"1621332,1622519,""+"""
"1622646,1622741,""+"""
"1622960,1623850,""-"""
"1624105,1624497,""-"""
"1624773,1625291,""+"""
"1625335,1627380,""-"""
"1627517,1628263,""+"""
"1628352,1629038,""+"""
"1629215,1629418,""+"""
"1629453,1630913,""-"""
"1633072,1633305,""+"""
"1633622,1634212,""+"""
"1634310,1634885,""-"""
"1634885,1635847,""-"""
"1636756,1636989,""+"""
"1637047,1637457,""+"""
"1637609,1637782,""-"""
"1637954,1638109,""-"""
"1638455,1638667,""-"""
"1639030,1639527,""-"""
"1639080,1639334,""-"""
"1639524,1640057,""-"""
"1640054,1640365,""-"""
"1640370,1640585,""-"""
"1641339,1641554,""-"""
"1641855,1642067,""+"""
"1642489,1643241,""-"""
"1643255,1644304,""-"""
"1644651,1644902,""-"""
"1645119,1645274,""-"""
"1645346,1645633,""-"""
"1645633,1645872,""-"""
"1645897,1646202,""+"""
"1646405,1646737,""+"""
"1647620,1647850,""-"""
"1647934,1648341,""+"""
"1648508,1648663,""+"""
"1648665,1648793,""+"""
"1648823,1649041,""+"""
"1649609,1649797,""+"""
"1649794,1649985,""+"""
"1652896,1653915,""-"""
"1653927,1655141,""-"""
"1655347,1655673,""-"""
"1655808,1656149,""+"""
"1656184,1656744,""+"""
"1656747,1657457,""-"""
"1657565,1657870,""+"""
"1658069,1660495,""+"""
"1660556,1662979,""+"""
"1662990,1663607,""+"""
"1663609,1664463,""+"""
"1664506,1665120,""+"""
"1665315,1666571,""+"""
"1666524,1667219,""-"""
"1667344,1668564,""-"""
"1668699,1669592,""-"""
"1669699,1670952,""+"""
"1671376,1671684,""+"""
"1671777,1671860,""+"""
"1671960,1672781,""+"""
"1672820,1673149,""-"""
"1673136,1673501,""-"""
"1673913,1674947,""+"""
"1674972,1676360,""-"""
"1676371,1677903,""-"""
"1678427,1679371,""+"""
"1679557,1680939,""+"""
"1680976,1681698,""+"""
"1681695,1682030,""-"""
"1682159,1682878,""+"""
"1682882,1684183,""+"""
"1684259,1685188,""+"""
"1685185,1686588,""-"""
"1686731,1688377,""-"""
"1688576,1689751,""+"""
"1689852,1691360,""+"""
"1691586,1692851,""-"""
"1692890,1694263,""-"""
"1694260,1696071,""-"""
"1696462,1697052,""-"""
"1697273,1698040,""-"""
"1698152,1699180,""-"""
"1699355,1700947,""+"""
"1700957,1702129,""+"""
"1702233,1703234,""+"""
"1703268,1704308,""-"""
"1704551,1704676,""+"""
"1704949,1705164,""+"""
"1705250,1705690,""+"""
"1705767,1706348,""+"""
"1706348,1706926,""+"""
"1706919,1709141,""+"""
"1709142,1710200,""+"""
"1710204,1710824,""+"""
"1710828,1711523,""+"""
"1711523,1712158,""+"""
"1712769,1714271,""+"""
"1714377,1714982,""+"""
"1715026,1715889,""-"""
"1715948,1717222,""-"""
"1717351,1718007,""-"""
"1718066,1718395,""-"""
"1718493,1719602,""-"""
"1719876,1720343,""+"""
"1720390,1720824,""-"""
"1721025,1721261,""+"""
"1721264,1722121,""+"""
"1722121,1724133,""+"""
"1724134,1724655,""-"""
"1724736,1725632,""-"""
"1725681,1725920,""-"""
"1726023,1726622,""+"""
"1726659,1727756,""+"""
"1727837,1728244,""+"""
"1728347,1728994,""+"""
"1729087,1733703,""+"""
"1733754,1734101,""-"""
"1734435,1735250,""+"""
"1735378,1735959,""+"""
"1736121,1737290,""-"""
"1737456,1737545,""-"""
"1737844,1738869,""+"""
"1738866,1739798,""-"""
"1739911,1741122,""+"""
"1741413,1742561,""+"""
"1742601,1743242,""-"""
"1743457,1744830,""+"""
"1744871,1746127,""-"""
"1746700,1747005,""+"""
"1747131,1748735,""+"""
"1748747,1749559,""-"""
"1749563,1750348,""-"""
"1750345,1751013,""-"""
"1751077,1751724,""-"""
"1751728,1753830,""-"""
"1753851,1754477,""-"""
"1754932,1755141,""-"""
"1755698,1757110,""+"""
"1757421,1757657,""+"""
"1757721,1758725,""-"""
"1758874,1759290,""-"""
"1759303,1760523,""-"""
"1760520,1761791,""-"""
"1761766,1762512,""-"""
"1762522,1764009,""-"""
"1764018,1764386,""-"""
"1764934,1765122,""-"""
"1765222,1765632,""-"""
"1765629,1768685,""-"""
"1769074,1770186,""+"""
"1770615,1770971,""+"""
"1771071,1772285,""+"""
"1772512,1773777,""+"""
"1773789,1774655,""+"""
"1774686,1775444,""+"""
"1775587,1777182,""+"""
"1777196,1778347,""+"""
"1778390,1779301,""-"""
"1779617,1780381,""+"""
"1780401,1781339,""+"""
"1781395,1782684,""+"""
"1782681,1782974,""+"""
"1783031,1784677,""+"""
"1784734,1787112,""-"""
"1787445,1788278,""+"""
"1788435,1789481,""+"""
"1789613,1789804,""+"""
"1789808,1791244,""-"""
"1791307,1792020,""-"""
"1792267,1792731,""-"""
"1792809,1793558,""-"""
"1793558,1794109,""-"""
"1794172,1795152,""-"""
"1795253,1795552,""-"""
"1795557,1797944,""-"""
"1797959,1798942,""-"""
"1799226,1799270,""-"""
"1799393,1799749,""-"""
"1799802,1799999,""-"""
"1800096,1800638,""-"""
"1800642,1802570,""-"""
"1805165,1805272,""+"""
"1805325,1806083,""-"""
"1806370,1807299,""+"""
"1807400,1807690,""+"""
"1807796,1808656,""+"""
"1808697,1809233,""-"""
"1809380,1810048,""+"""
"1810211,1810801,""+"""
"1810934,1812325,""+"""
"1812329,1813132,""-"""
"1813421,1813663,""-"""
"1813867,1816128,""+"""
"1816386,1817135,""-"""
"1817148,1818500,""-"""
"1818605,1819447,""-"""
"1819455,1819805,""-"""
"1819856,1821214,""-"""
"1821299,1821619,""-"""
"1821918,1822256,""-"""
"1822458,1823285,""+"""
"1823515,1824402,""+"""
"1824362,1824937,""-"""
"1825140,1825625,""-"""
"1825955,1826923,""-"""
"1826916,1828259,""-"""
"1828256,1829734,""-"""
"1829731,1830765,""-"""
"1830762,1831982,""-"""
"1832428,1833234,""+"""
"1833401,1834111,""+"""
"1834116,1834793,""+"""
"1834808,1835515,""+"""
"1835515,1836063,""+"""
"1836073,1837239,""+"""
"1837212,1838747,""+"""
"1838747,1839400,""+"""
"1839467,1840774,""+"""
"1840783,1841403,""-"""
"1841490,1841897,""+"""
"1841863,1842135,""-"""
"1842371,1843714,""+"""
"1843831,1844871,""-"""
"1844999,1846960,""-"""
"1846965,1848008,""-"""
"1848125,1848676,""-"""
"1848837,1850693,""+"""
"1850860,1851876,""+"""
"1851887,1852528,""+"""
"1852621,1853979,""-"""
"1854096,1854854,""-"""
"1854991,1855971,""-"""
"1855981,1856928,""-"""
"1856933,1857769,""-"""
"1857790,1858833,""-"""
"1858850,1860229,""-"""
"1860256,1861332,""-"""
"1861702,1861974,""-"""
"1862016,1862429,""-"""
"1862771,1863766,""+"""
"1863850,1864734,""+"""
"1864782,1865636,""-"""
"1865726,1866472,""-"""
"1866908,1868842,""+"""
"1868955,1870238,""+"""
"1870385,1871860,""+"""
"1872041,1873531,""+"""
"1873574,1874077,""+"""
"1874078,1874182,""-"""
"1874352,1874798,""+"""
"1874755,1875576,""-"""
"1875673,1876854,""+"""
"1876909,1877256,""+"""
"1877278,1877532,""-"""
"1877715,1878740,""+"""
"1878773,1878871,""+"""
"1878874,1878948,""+"""
"1879007,1879255,""-"""
"1879403,1879585,""-"""
"1879589,1879948,""-"""
"1880121,1880759,""-"""
"1880886,1881809,""-"""
"1881912,1882997,""+"""
"1883188,1884633,""+"""
"1884665,1885789,""+"""
"1885845,1886810,""+"""
"1886864,1887991,""-"""
"1888061,1889746,""-"""
"1889951,1890532,""-"""
"1890572,1891267,""-"""
"1891325,1893235,""-"""
"1893367,1893711,""+"""
"1894133,1894432,""+"""
"1894552,1894731,""-"""
"1894805,1896166,""+"""
"1896170,1896748,""+"""
"1896932,1898296,""+"""
"1898427,1900025,""+"""
"1900029,1901585,""-"""
"1902048,1903019,""+"""
"1903082,1903882,""+"""
"1903895,1904746,""+"""
"1904801,1905259,""+"""
"1905688,1906254,""+"""
"1906251,1907060,""-"""
"1907226,1907435,""-"""
"1907448,1907591,""-"""
"1908261,1908548,""-"""
"1908623,1908766,""-"""
"1908925,1909164,""+"""
"1909308,1910099,""-"""
"1910276,1911649,""+"""
"1911695,1912576,""-"""
"1912768,1914816,""-"""
"1914836,1915534,""-"""
"1915631,1916128,""-"""
"1916258,1917541,""+"""
"1917510,1920143,""+"""
"1920223,1921662,""+"""
"1921780,1922016,""+"""
"1922121,1922312,""+"""
"1922313,1922969,""-"""
"1923365,1923706,""-"""
"1923719,1924591,""-"""
"1924595,1924969,""-"""
"1925108,1925338,""+"""
"1925440,1926096,""+"""
"1926120,1926782,""+"""
"1926779,1928839,""-"""
"1929048,1929707,""-"""
"1930034,1930390,""-"""
"1930457,1930747,""-"""
"1930881,1932059,""+"""
"1932115,1932756,""-"""
"1932793,1934604,""-"""
"1934839,1936314,""-"""
"1936652,1937521,""+"""
"1937649,1939091,""+"""
"1939222,1940193,""-"""
"1940313,1941635,""-"""
"1941651,1942583,""-"""
"1942662,1943417,""+"""
"1943414,1944199,""+"""
"1944346,1945356,""-"""
"1945365,1945976,""-"""
"1946115,1946180,""-"""
"1946251,1946853,""+"""
"1946855,1947376,""-"""
"1947411,1948151,""-"""
"1948180,1948632,""-"""
"1948750,1950522,""-"""
"1950832,1951398,""+"""
"1951395,1952213,""+"""
"1952266,1952661,""+"""
"1952702,1953445,""+"""
"1953442,1954413,""+"""
"1954578,1957007,""-"""
"1957032,1958132,""-"""
"1958520,1959266,""-"""
"1959280,1959846,""-"""
"1960062,1961795,""+"""
"1961972,1962460,""+"""
"1962580,1962972,""-"""
"1962972,1965050,""-"""
"1965043,1966191,""-"""
"1966393,1967037,""-"""
"1967048,1967437,""-"""
"1967452,1968501,""-"""
"1968504,1969364,""-"""
"1969383,1970984,""-"""
"1971030,1972691,""-"""
"1972836,1973339,""-"""
"1973360,1975324,""-"""
"1975329,1976255,""-"""
"1976252,1977139,""-"""
"1977266,1977844,""-"""
"1977847,1978197,""-"""
"1978518,1979021,""-"""
"1978940,1979215,""-"""
"1979753,1980181,""+"""
"1980188,1981612,""-"""
"1981587,1982387,""-"""
"1982554,1983540,""-"""
"1983555,1985069,""-"""
"1985139,1986128,""-"""
"1986925,1987428,""+"""
"1987507,1987758,""-"""
"1987873,1987959,""-"""
"1988222,1988545,""+"""
"1988716,1989213,""+"""
"1989251,1989490,""-"""
"1989681,1990892,""+"""
"1990954,1991619,""-"""
"1992269,1992817,""-"""
"1992874,1994706,""-"""
"1994703,1995359,""-"""
"1995818,1996042,""+"""
"1996110,1996832,""-"""
"1997062,1997814,""-"""
"1997811,1998479,""-"""
"1998494,1999480,""-"""
"1999585,2000385,""-"""
"2000473,2001024,""-"""
"2001070,2001789,""-"""
"2002110,2003606,""-"""
"2003872,2005278,""+"""
"2005303,2005713,""+"""
"2005713,2006078,""+"""
"2006156,2007643,""+"""
"2007677,2008090,""-"""
"2008277,2009482,""+"""
"2009479,2009712,""+"""
"2009821,2010489,""+"""
"2010600,2011079,""+"""
"2012700,2013014,""-"""
"2013229,2014887,""+"""
"2014880,2015875,""+"""
"2015868,2016554,""+"""
"2016554,2017927,""+"""
"2017946,2018389,""+"""
"2018386,2019513,""+"""
"2019618,2020082,""+"""
"2020087,2021091,""+"""
"2021088,2021501,""+"""
"2021504,2021869,""+"""
"2021869,2022606,""+"""
"2022616,2022885,""+"""
"2022893,2023678,""+"""
"2023968,2024591,""+"""
"2024635,2024823,""-"""
"2024986,2025213,""+"""
"2025511,2026326,""+"""
"2026323,2028017,""-"""
"2028188,2028370,""-"""
"2028449,2029366,""-"""
"2029539,2030459,""+"""
"2030448,2030918,""-"""
"2030899,2032317,""-"""
"2032384,2033079,""-"""
"2033119,2033484,""-"""
"2035835,2036686,""+"""
"2036794,2038152,""-"""
"2038152,2038823,""-"""
"2038956,2039369,""+"""
"2039478,2040482,""+"""
"2040483,2041118,""+"""
"2041375,2042025,""+"""
"2042368,2042898,""+"""
"2043651,2044448,""+"""
"2044938,2052014,""+"""
"2053643,2054959,""+"""
"2055061,2056515,""+"""
"2056858,2057574,""+"""
"2058203,2059690,""-"""
"2059964,2060914,""-"""
"2061016,2061933,""-"""
"2062391,2063323,""-"""
"2063388,2064467,""-"""
"2064479,2065222,""-"""
"2065219,2065764,""-"""
"2066305,2067321,""-"""
"2068952,2069857,""-"""
"2069815,2070180,""-"""
"2071539,2074658,""+"""
"2074779,2076311,""+"""
"2076308,2076754,""+"""
"2076817,2077038,""+"""
"2077112,2077480,""+"""
"2077569,2077943,""+"""
"2079032,2079361,""-"""
"2079533,2080591,""-"""
"2080789,2081262,""-"""
"2081381,2082547,""-"""
"2082756,2084183,""+"""
"2084226,2084453,""-"""
"2084467,2085525,""-"""
"2085704,2087062,""-"""
"2087052,2087114,""-"""
"2087329,2088258,""-"""
"2088304,2089128,""-"""
"2089211,2089465,""-"""
"2089462,2089713,""-"""
"2089996,2090046,""+"""
"2090192,2091091,""+"""
"2091097,2092401,""+"""
"2092398,2093468,""+"""
"2093468,2094535,""+"""
"2094535,2095125,""+"""
"2095125,2095862,""+"""
"2095844,2096620,""+"""
"2096614,2097225,""+"""
"2097321,2098301,""-"""
"2098447,2099613,""-"""
"2099862,2101268,""-"""
"2101895,2102911,""-"""
"2103391,2104509,""-"""
"2104494,2105084,""-"""
"2105065,2106057,""-"""
"2106060,2107226,""-"""
"2107226,2108329,""-"""
"2108337,2109584,""-"""
"2109581,2110138,""-"""
"2110138,2111019,""-"""
"2111077,2111976,""-"""
"2111976,2113061,""-"""
"2113434,2114327,""-"""
"2114502,2115896,""-"""
"2115907,2117127,""-"""
"2117124,2118404,""-"""
"2118680,2120158,""-"""
"2120160,2121554,""-"""
"2121609,2122979,""-"""
"2123084,2124520,""-"""
"2124523,2125746,""-"""
"2125743,2126222,""-"""
"2126225,2127190,""-"""
"2127193,2128314,""-"""
"2128340,2128888,""-"""
"2128904,2129650,""-"""
"2129661,2130878,""-"""
"2130853,2132070,""-"""
"2132067,2132555,""-"""
"2132558,2133397,""-"""
"2133490,2135652,""-"""
"2135655,2136098,""-"""
"2136104,2137243,""-"""
"2137902,2139485,""+"""
"2139759,2141612,""-"""
"2141634,2142215,""-"""
"2142307,2142948,""-"""
"2143266,2146583,""+"""
"2146692,2147540,""-"""
"2147674,2149026,""+"""
"2149039,2150985,""-"""
"2151185,2151646,""+"""
"2151711,2152472,""-"""
"2152469,2153128,""-"""
"2153349,2153408,""-"""
"2153681,2153737,""-"""
"2154016,2155263,""+"""
"2155263,2158385,""+"""
"2158386,2161463,""+"""
"2161464,2162879,""+"""
"2162876,2164279,""+"""
"2164276,2164998,""+"""
"2165189,2165521,""+"""
"2165668,2167029,""+"""
"2167302,2167520,""-"""
"2167989,2168306,""-"""
"2168712,2169611,""+"""
"2170236,2170535,""+"""
"2170532,2171398,""+"""
"2171833,2172873,""-"""
"2174282,2174566,""-"""
"2174597,2175049,""-"""
"2175059,2176321,""-"""
"2176350,2177204,""-"""
"2177512,2178564,""-"""
"2178821,2180098,""+"""
"2180095,2181099,""+"""
"2181096,2182061,""+"""
"2182035,2182781,""-"""
"2182833,2183651,""-"""
"2183716,2184516,""-"""
"2184513,2185301,""-"""
"2185524,2185796,""-"""
"2185917,2186741,""+"""
"2186960,2187298,""+"""
"2187380,2188414,""-"""
"2188430,2190910,""-"""
"2190926,2191645,""-"""
"2191680,2192222,""-"""
"2192515,2192796,""-"""
"2193059,2194168,""-"""
"2194300,2196333,""+"""
"2200279,2203911,""+"""
"2203972,2204289,""+"""
"2204596,2205684,""+"""
"2205695,2207974,""+"""
"2207967,2209103,""+"""
"2211225,2211686,""+"""
"2211726,2212196,""-"""
"2212243,2212962,""-"""
"2212959,2214644,""-"""
"2214866,2215597,""+"""
"2215657,2215764,""+"""
"2215745,2216476,""-"""
"2216481,2217407,""-"""
"2217400,2218557,""-"""
"2218564,2219481,""-"""
"2219692,2221989,""-"""
"2222185,2223900,""+"""
"2223938,2224870,""-"""
"2225044,2225631,""-"""
"2225801,2226379,""+"""
"2226509,2227270,""-"""
"2228982,2229065,""+"""
"2229438,2230385,""-"""
"2230624,2231022,""+"""
"2231019,2231714,""+"""
"2231844,2232728,""+"""
"2232878,2233597,""+"""
"2233600,2233839,""+"""
"2234033,2235271,""+"""
"2235265,2236500,""+"""
"2236743,2237753,""-"""
"2237769,2239289,""-"""
"2239350,2240348,""-"""
"2240628,2241668,""-"""
"2241810,2242967,""-"""
"2242984,2243652,""-"""
"2243910,2244746,""+"""
"2244778,2246769,""-"""
"2247063,2248532,""-"""
"2248737,2249618,""-"""
"2249717,2250766,""+"""
"2250840,2251697,""+"""
"2251700,2252788,""+"""
"2252895,2254145,""-"""
"2254245,2255186,""-"""
"2255355,2256014,""+"""
"2256085,2257335,""-"""
"2257429,2258367,""-"""
"2258355,2259296,""-"""
"2259719,2261410,""-"""
"2261427,2262365,""-"""
"2262365,2263495,""-"""
"2263863,2265044,""+"""
"2265041,2265295,""-"""
"2265450,2266022,""+"""
"2266245,2267711,""+"""
"2267829,2268815,""+"""
"2268854,2269567,""+"""
"2269979,2270545,""+"""
"2270726,2272282,""+"""
"2272364,2274178,""+"""
"2274179,2275273,""+"""
"2275273,2276298,""+"""
"2276300,2277889,""+"""
"2277893,2278237,""-"""
"2278570,2279760,""-"""
"2279788,2280483,""-"""
"2280632,2282392,""+"""
"2282517,2282801,""+"""
"2282940,2283947,""-"""
"2284129,2284356,""+"""
"2284376,2286136,""+"""
"2289065,2290081,""-"""
"2290500,2291147,""+"""
"2291358,2292410,""-"""
"2292407,2292964,""-"""
"2292961,2294904,""-"""
"2294901,2295380,""-"""
"2295377,2295586,""-"""
"2295583,2296320,""-"""
"2296362,2297024,""-"""
"2297021,2297644,""-"""
"2297657,2298259,""-"""
"2298269,2298718,""-"""
"2298715,2299578,""-"""
"2299565,2300260,""-"""
"2300267,2302753,""-"""
"2302750,2303013,""-"""
"2303003,2303497,""-"""
"2303905,2304393,""+"""
"2305108,2306754,""-"""
"2306972,2308615,""-"""
"2308691,2309341,""-"""
"2309341,2310405,""-"""
"2310479,2311534,""-"""
"2311646,2312749,""-"""
"2313488,2316160,""+"""
"2316177,2316827,""+"""
"2317027,2319876,""-"""
"2320043,2321869,""+"""
"2321866,2323251,""+"""
"2323447,2324109,""+"""
"2324109,2324759,""+"""
"2324756,2326078,""+"""
"2326109,2327293,""+"""
"2327367,2328143,""-"""
"2328148,2329797,""-"""
"2334336,2334959,""-"""
"2334956,2336644,""-"""
"2336793,2339420,""-"""
"2339567,2340289,""+"""
"2340417,2344169,""-"""
"2344865,2347150,""+"""
"2347384,2348514,""+"""
"2348514,2348768,""+"""
"2348822,2349472,""-"""
"2349935,2351011,""-"""
"2351016,2352374,""-"""
"2352647,2354275,""+"""
"2354265,2355524,""+"""
"2355521,2356711,""+"""
"2356904,2357803,""+"""
